SEABase,State,Link,FIPS,Raw
http://www.alsde.edu/Pages/home.aspx,Alabama,/Pages/home.aspx,AL,Alabama State Department of Education Homepage
http://www.alsde.edu/Pages/home.aspx,Alabama,/Pages/home.aspx,AL,Alabama State Department of Education
http://www.alsde.edu/Pages/home.aspx,Alabama,#,AL,Department Offices
http://www.alsde.edu/Pages/home.aspx,Alabama,#,AL,Learners & Parents
http://www.alsde.edu/Pages/home.aspx,Alabama,#,AL,Support Systems
http://www.alsde.edu/Pages/home.aspx,Alabama,#,AL,Education Professionals
http://www.alsde.edu/Pages/home.aspx,Alabama,#,AL,Schools & Systems
http://www.alsde.edu/Pages/home.aspx,Alabama,#,AL,Data Center
http://www.alsde.edu/Pages/home.aspx,Alabama,#,AL,Communications
http://www.alsde.edu/Pages/home.aspx,Alabama,#,AL,Calendar
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript: {},AL,
http://www.alsde.edu/Pages/home.aspx,Alabama,/sec/rd/Plan%202020/Alabama%20PLAN%202020.pdf,AL,
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript: ,AL,Pillar
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript:;,AL,
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript: ,AL,Objective
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript:;,AL,
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript: ,AL,Picture URL
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript:;,AL,
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript: ,AL,Caption
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript:;,AL,
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript: ,AL,ID
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript:;,AL,
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript: ,AL,Learn More url
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript:;,AL,
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript: ,AL,Objective
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript:;,AL,
http://www.alsde.edu/Pages/home.aspx,Alabama,http://www.alsde.edu/_layouts/15/listform.aspx?PageType=4&ListId=%7BEA1D3026%2DCCB1%2D4D3F%2DA76A%2D3416A6845405%7D&ID=1&ContentTypeID=0x0100C6E9B02229A8A845963CA607D3625512,AL,All students succeed
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript:;,AL,
http://www.alsde.edu/Pages/home.aspx,Alabama,http://assets.alsde.edu/sites/graphics/ALSDE%20Graphics/ETS.jpg,AL,http://assets.alsde.edu/sites/graphics/ALSDE%20Graphics/ETS.jpg
http://www.alsde.edu/Pages/home.aspx,Alabama,/dept/cosreview/Pages/MathELAreview.aspx,AL,Review now until March 14
http://www.alsde.edu/Pages/home.aspx,Alabama,http://www.alsde.edu/_layouts/15/listform.aspx?PageType=4&ListId=%7BEA1D3026%2DCCB1%2D4D3F%2DA76A%2D3416A6845405%7D&ID=2&ContentTypeID=0x0100C6E9B02229A8A845963CA607D3625512,AL,All students graduate from high school
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript:;,AL,
http://www.alsde.edu/Pages/home.aspx,Alabama,http://www.alsde.edu/_layouts/15/listform.aspx?PageType=4&ListId=%7BEA1D3026%2DCCB1%2D4D3F%2DA76A%2D3416A6845405%7D&ID=3&ContentTypeID=0x0100C6E9B02229A8A845963CA607D3625512,AL,All students graduate from high school prepared
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript:;,AL,
http://www.alsde.edu/Pages/home.aspx,Alabama,http://www.alsde.edu/_layouts/15/listform.aspx?PageType=4&ListId=%7BEA1D3026%2DCCB1%2D4D3F%2DA76A%2D3416A6845405%7D&ID=8&ContentTypeID=0x0100C6E9B02229A8A845963CA607D3625512,AL,Schools and systems will be provided flexibility and resources to create 21st century learning environments to meet the individual and collective needs of their students
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript:;,AL,
http://www.alsde.edu/Pages/home.aspx,Alabama,http://assets.alsde.edu/sites/graphics/ALSDE%20Graphics/PILLAR-INNV.png,AL,http://assets.alsde.edu/sites/graphics/ALSDE%20Graphics/PILLAR-INNV.png
http://www.alsde.edu/Pages/home.aspx,Alabama,/Pages/innovations.aspx,AL,Learn more!
http://www.alsde.edu/Pages/home.aspx,Alabama,http://www.alsde.edu/_layouts/15/listform.aspx?PageType=4&ListId=%7BEA1D3026%2DCCB1%2D4D3F%2DA76A%2D3416A6845405%7D&ID=7&ContentTypeID=0x0100C6E9B02229A8A845963CA607D3625512,AL,"Every child is taught by a well-prepared, resourced, supported, and effective teacher and leader"
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript:;,AL,
http://www.alsde.edu/Pages/home.aspx,Alabama,http://assets.alsde.edu/sites/graphics/ALSDE%20Graphics/Teacher%20Cert%20Pillar%20image.jpg,AL,http://assets.alsde.edu/sites/graphics/ALSDE%20Graphics/Teacher%20Cert%20Pillar%20image.jpg
http://www.alsde.edu/Pages/home.aspx,Alabama,/sec/ec/Pages/home.aspx?navtext=Educator Certification,AL,Learn more!
http://www.alsde.edu/Pages/home.aspx,Alabama,http://www.alsde.edu/_layouts/15/listform.aspx?PageType=4&ListId=%7BEA1D3026%2DCCB1%2D4D3F%2DA76A%2D3416A6845405%7D&ID=4&ContentTypeID=0x0100C6E9B02229A8A845963CA607D3625512,AL,All students will attend school daily and be engaged in rigorous and relevant learning environments
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript:;,AL,
http://www.alsde.edu/Pages/home.aspx,Alabama,http://assets.alsde.edu/sites/graphics/ALSDE%20Graphics/pillar544.png,AL,http://assets.alsde.edu/sites/graphics/ALSDE%20Graphics/pillar544.png
http://www.alsde.edu/Pages/home.aspx,Alabama,/sec/pss/Pages/safeatschool-all.aspx,AL,Learn More!
http://www.alsde.edu/Pages/home.aspx,Alabama,http://www.alsde.edu/_layouts/15/listform.aspx?PageType=4&ListId=%7BEA1D3026%2DCCB1%2D4D3F%2DA76A%2D3416A6845405%7D&ID=5&ContentTypeID=0x0100C6E9B02229A8A845963CA607D3625512,AL,All students will take personal responsibility for ensuring a safe and civil learning environment
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript:;,AL,
http://www.alsde.edu/Pages/home.aspx,Alabama,http://www.alsde.edu/_layouts/15/listform.aspx?PageType=4&ListId=%7BEA1D3026%2DCCB1%2D4D3F%2DA76A%2D3416A6845405%7D&ID=6&ContentTypeID=0x0100C6E9B02229A8A845963CA607D3625512,AL,All students will enter 9th grade prepared and with a 4-year plan that addresses individual academic and career interest needs
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript:;,AL,
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript: ,AL,Title
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript:;,AL,
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript: ,AL,URL
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript:;,AL,
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript: ,AL,Popup Number
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript:;,AL,
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript: ,AL,Vertical Order
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript:;,AL,
http://www.alsde.edu/Pages/home.aspx,Alabama,http://www.alsde.edu/_layouts/15/listform.aspx?PageType=4&ListId=%7BA7C9C4E9%2D9022%2D4DA8%2D9177%2DBA08A4DE8689%7D&ID=1&ContentTypeID=0x010045B43783BF5371429FAF15C4FFDA5E95,AL,State Board of Education
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript:;,AL,
http://www.alsde.edu/Pages/home.aspx,Alabama,/sites/boe/Pages/home.aspx,AL,/sites/boe/Pages/home.aspx
http://www.alsde.edu/Pages/home.aspx,Alabama,http://www.alsde.edu/_layouts/15/listform.aspx?PageType=4&ListId=%7BA7C9C4E9%2D9022%2D4DA8%2D9177%2DBA08A4DE8689%7D&ID=2&ContentTypeID=0x010045B43783BF5371429FAF15C4FFDA5E95,AL,Board Members
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript:;,AL,
http://www.alsde.edu/Pages/home.aspx,Alabama,/sites/boe/Pages/boardmembers-all.aspx,AL,/sites/boe/Pages/boardmembers-all.aspx
http://www.alsde.edu/Pages/home.aspx,Alabama,http://www.alsde.edu/_layouts/15/listform.aspx?PageType=4&ListId=%7BA7C9C4E9%2D9022%2D4DA8%2D9177%2DBA08A4DE8689%7D&ID=3&ContentTypeID=0x010045B43783BF5371429FAF15C4FFDA5E95,AL,Meeting Dates
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript:;,AL,
http://www.alsde.edu/Pages/home.aspx,Alabama,/sites/boe/Pages/home.aspx,AL,/sites/boe/Pages/home.aspx
http://www.alsde.edu/Pages/home.aspx,Alabama,http://www.alsde.edu/_layouts/15/listform.aspx?PageType=4&ListId=%7BA7C9C4E9%2D9022%2D4DA8%2D9177%2DBA08A4DE8689%7D&ID=4&ContentTypeID=0x010045B43783BF5371429FAF15C4FFDA5E95,AL,Meeting & Work Session Agendas
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript:;,AL,
http://www.alsde.edu/Pages/home.aspx,Alabama,https://eboard.eboardsolutions.com/index.aspx?s=70577,AL,https://eboard.eboardsolutions.com/index.aspx?s=70577
http://www.alsde.edu/Pages/home.aspx,Alabama,http://www.alsde.edu/_layouts/15/listform.aspx?PageType=4&ListId=%7BA7C9C4E9%2D9022%2D4DA8%2D9177%2DBA08A4DE8689%7D&ID=5&ContentTypeID=0x010045B43783BF5371429FAF15C4FFDA5E95,AL,Meeting Minutes
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript:;,AL,
http://www.alsde.edu/Pages/home.aspx,Alabama,/sites/boe/Pages/sboemeetingminutes-all.aspx,AL,/sites/boe/Pages/sboemeetingminutes-all.aspx
http://www.alsde.edu/Pages/home.aspx,Alabama,http://www.alsde.edu/_layouts/15/listform.aspx?PageType=4&ListId=%7BA7C9C4E9%2D9022%2D4DA8%2D9177%2DBA08A4DE8689%7D&ID=6&ContentTypeID=0x010045B43783BF5371429FAF15C4FFDA5E95,AL,SBOE Meetings
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript:;,AL,
http://www.alsde.edu/Pages/home.aspx,Alabama,/sites/boe/Pages/home.aspx,AL,/sites/boe/Pages/home.aspx
http://www.alsde.edu/Pages/home.aspx,Alabama,http://www.alsde.edu/_layouts/15/listform.aspx?PageType=4&ListId=%7BA7C9C4E9%2D9022%2D4DA8%2D9177%2DBA08A4DE8689%7D&ID=7&ContentTypeID=0x010045B43783BF5371429FAF15C4FFDA5E95,AL,Previous Meeting Videos
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript:;,AL,
http://www.alsde.edu/Pages/home.aspx,Alabama,/sites/boe/Pages/PreviousMeetings.aspx,AL,/sites/boe/Pages/PreviousMeetings.aspx
http://www.alsde.edu/Pages/home.aspx,Alabama,http://www.alsde.edu/_layouts/15/listform.aspx?PageType=4&ListId=%7BA7C9C4E9%2D9022%2D4DA8%2D9177%2DBA08A4DE8689%7D&ID=8&ContentTypeID=0x010045B43783BF5371429FAF15C4FFDA5E95,AL,Goals and Initiatives
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript:;,AL,
http://www.alsde.edu/Pages/home.aspx,Alabama,/sec/rd/Plan%202020/Alabama%20PLAN%202020.pdf,AL,Plan 2020
http://www.alsde.edu/Pages/home.aspx,Alabama,http://www.alsde.edu/_layouts/15/listform.aspx?PageType=4&ListId=%7BA7C9C4E9%2D9022%2D4DA8%2D9177%2DBA08A4DE8689%7D&ID=9&ContentTypeID=0x010045B43783BF5371429FAF15C4FFDA5E95,AL,Adopted Resolutions
http://www.alsde.edu/Pages/home.aspx,Alabama,javascript:;,AL,
